Data;Bochenek chleba;Litr benzyny;kWh energii;Œrednia krajowa;
01.01.2011;0.947;1.257;0.186;2126;
01.02.2011;0.946;1.271;0.186;2126;
01.03.2011;0.944;1.322;0.186;2126;
01.04.2011;0.945;1.337;0.186;2126;
01.05.2011;0.946;1.382;0.188;2126;
01.06.2011;0.947;1.324;0.188;2126;
01.07.2011;0.950;1.310;0.188;2126;
01.08.2011;0.950;1.354;0.188;2126;
01.09.2011;0.950;1.354;0.188;2126;
01.10.2011;0.951;1.311;0.188;2126;
01.11.2011;0.952;1.306;0.188;2126;
01.12.2011;0.952;1.284;0.188;2126;
01.01.2012;0.954;1.358;0.188;2157;
01.02.2012;0.954;1.378;0.188;2157;
01.03.2012;0.955;1.437;0.188;2157;
01.04.2012;0.954;1.498;0.203;2157;
01.05.2012;0.955;1.437;0.203;2157;
01.06.2012;0.957;1.402;0.203;2157;
01.07.2012;0.957;1.349;0.210;2157;
01.08.2012;0.959;1.441;0.210;2157;
01.09.2012;0.962;1.522;0.215;2157;
01.10.2012;0.963;1.475;0.212;2157;
01.11.2012;0.963;1.380;0.212;2157;
01.12.2012;0.963;1.377;0.212;2157;
01.01.2013;0.965;1.400;0.203;2168;
01.02.2013;0.964;1.453;0.203;2168;
01.03.2013;0.965;1.489;0.203;2168;
01.04.2013;0.964;1.465;0.191;2168;
01.05.2013;0.964;1.397;0.191;2168;
01.06.2013;0.964;1.436;0.191;2168;
01.07.2013;0.964;1.421;0.193;2168;
01.08.2013;0.965;1.458;0.198;2168;
01.09.2013;0.964;1.470;0.198;2168;
01.10.2013;0.963;1.411;0.203;2168;
01.11.2013;0.962;1.383;0.203;2168;
01.12.2013;0.960;1.406;0.203;2168;
01.01.2014;0.960;1.407;0.208;2182;
01.02.2014;0.960;1.387;0.208;2182;
01.03.2014;0.960;1.408;0.208;2182;
01.04.2014;0.960;1.400;0.208;2182;
01.05.2014;0.961;1.428;0.208;2182;
01.06.2014;0.961;1.428;0.203;2182;
01.07.2014;0.961;1.452;0.200;2182;
01.08.2014;0.961;1.405;0.203;2182;
01.09.2014;0.961;1.413;0.215;2182;
01.10.2014;0.961;1.405;0.215;2182;
01.11.2014;0.961;1.332;0.205;2182;
01.12.2014;0.961;1.294;0.205;2182;
01.01.2015;0.961;1.151;0.212;2206;
01.02.2015;0.961;1.136;0.200;2206;
01.03.2015;0.961;1.237;0.200;2206;
01.04.2015;0.961;1.261;0.203;2206;
01.05.2015;0.961;1.317;0.200;2206;
01.06.2015;0.961;1.319;0.210;2206;
01.07.2015;0.961;1.327;0.217;2206;
01.08.2015;0.960;1.284;0.210;2206;
01.09.2015;0.960;1.194;0.200;2206;
01.10.2015;0.960;1.170;0.200;2206;
01.11.2015;0.960;1.155;0.205;2206;
01.12.2015;0.960;1.162;0.208;2206;
01.01.2016;0.960;1.141;0.186;2204;
01.02.2016;0.961;1.104;0.174;2204;
01.03.2016;0.961;1.078;0.171;2204;
