Data,Bochenek chleba,Litr benzyny,kWh energii,Œrednia krajowa
Jan-11,2.11,1.73,0.1623,2940
Feb-11,2.1,1.74,0.1626,2940
Mar-11,2.12,1.73,0.163,2940
Apr-11,2.11,1.75,0.1633,2940
May-11,2.13,1.75,0.1637,2940
Jun-11,2.14,1.76,0.1648,2940
Jul-11,2.11,1.78,0.1649,2940
Aug-11,2.09,1.78,0.1658,2940
Sep-11,2.1,1.8,0.1667,2940
Oct-11,2.11,1.83,0.1688,2940
Nov-11,2.09,1.87,0.169,2940
Dec-11,2.09,1.89,0.1696,2940
Jan-12,2.08,1.9,0.1707,2850
Feb-12,2.06,1.95,0.1705,2850
Mar-12,2.03,1.98,0.1715,2850
Apr-12,1.99,1.99,0.1718,2850
May-12,1.56,2,0.1715,2850
Jun-12,1.54,1.96,0.1735,2850
Jul-12,1.55,1.94,0.1744,2850
Aug-12,1.56,1.83,0.1757,2850
Sep-12,1.53,1.77,0.1766,2850
Oct-12,1.49,1.69,0.1779,2850
Nov-12,1.51,1.55,0.1784,2850
Dec-12,1.49,1.46,0.1792,2715
Jan-13,1.48,1.23,0.1799,2715
Feb-13,1.46,1.23,0.1804,2715
Mar-13,1.47,1.22,0.1812,2715
Apr-13,1.44,1.17,0.1817,2715
May-13,1.42,1.12,0.1814,2715
Jun-13,1.4,1.15,0.1816,2715
Jul-13,1.39,1.2,0.1813,2715
Aug-13,1.37,1.21,0.1811,2715
Sep-13,1.35,1.23,0.1807,2715
Oct-13,1.3,1.23,0.1805,2715
Nov-13,1.32,1.15,0.1803,2715
Dec-13,1.29,1.12,0.1801,2715
Jan-14,1.27,1.11,0.1796,2875
Feb-14,1.29,1.09,0.1791,2875
Mar-14,1.3,1.11,0.1779,2875
Apr-14,1.27,1.13,0.1773,2875
May-14,1.28,1.15,0.1765,2875
Jun-14,1.25,1.17,0.1759,2875
Jul-14,1.22,1.18,0.1752,2875
Aug-14,1.24,1.15,0.175,2875
Sep-14,1.27,1.08,0.1741,2875
Oct-14,1.27,1.06,0.1729,2875
Nov-14,1.24,0.98,0.1718,2875
Dec-14,1.22,0.97,0.1705,2875
Jan-15,1.2,1.05,0.1699,3050
Feb-15,1.25,1.06,0.1693,3050
Mar-15,1.27,1.06,0.1687,3050
Apr-15,1.24,1.07,0.1689,3050
May-15,1.26,1.05,0.1692,3050
Jun-15,1.27,1.08,0.1694,3050
Jul-15,1.3,1.05,0.1691,3050
Aug-15,1.72,1.03,0.1695,3050
Sep-15,1.77,1.03,0.1689,3050
Oct-15,1.82,1.02,0.1693,3050
Nov-15,1.85,0.96,0.1697,3050
Dec-15,1.88,0.94,0.1699,3050
Jan-16,1.9,0.87,0.1707,3250
Feb-16,1.94,0.9,0.1715,3250
Mar-16,2.01,0.92,0.1721,3250
Apr-16,1.99,1,0.1723,3250
May-16,1.95,0.97,0.173,3250
