Data:;chleb;Cena litr ( euro);cena kwh;średnia krajowa
01.01.2011;1.600;1.469;0.2523;2157.90
01.02.2011;1.550;1.442;0.2524;2157.91
01.03.2011;1.560;1.511;0.2525;2157.92
01.04.2011;1.500;1.642;0.2526;2157.93
01.05.2011;1.467;1.549;0.2527;2157.94
01.06.2011;1.450;1.535;0.2528;2157.95
01.07.2011;1.439;1.480;0.2529;2157.96
01.08.2011;1.421;1.486;0.2530;2157.97
01.09.2011;1.400;1.512;0.2531;2157.98
01.10.2011;1.410;1.533;0.2532;2157.99
01.11.2011;1.370;1.524;0.2533;2157.00
01.12.2011;1.320;1.502;0.2531;2157.10
01.01.2012;1.300;1.550;0.2532;2204.15
01.02.2012;1.310;1.582;0.2553;2204.16
01.03.2012;1.311;1.689;0.2564;2204.17
01.04.2012;1.316;1.733;0.2575;2204.18
01.05.2012;1.322;1.629;0.2586;2204.19
01.06.2012;1.300;1.600;0.2595;2204.20
01.07.2012;1.302;1.583;0.2610;2204.21
01.08.2012;1.309;1.670;0.2620;2204.22
01.09.2012;1.316;1.769;0.2630;2204.23
01.10.2012;1.322;1.717;0.2645;2204.24
01.11.2012;1.340;1.602;0.2665;2204.25
01.12.2012;1.350;1.644;0.2676;2204.26
01.01.2013;1.400;1.608;0.2700;2241.85
01.02.2013;1.410;1.658;0.2750;2241.86
01.03.2013;1.404;1.576;0.2800;2241.87
01.04.2013;1.412;1.630;0.2850;2241.88
01.05.2013;1.421;1.603;0.2900;2241.89
01.06.2013;1.410;1.596;0.2919;2241.90
01.07.2013;1.401;1.635;0.2920;2241.91
01.08.2013;1.410;1.618;0.2921;2241.92
01.09.2013;1.406;1.647;0.2920;2241.93
01.10.2013;1.402;1.569;0.2919;2241.94
01.11.2013;1.411;1.559;0.2920;2241.95
01.12.2013;1.402;1.565;0.2921;2241.96
01.01.2014;1.400;1.529;0.2930;2292.55
01.02.2014;1.401;1.532;0.2940;2292.56
01.03.2014;1.402;1.543;0.2950;2292.57
01.04.2014;1.403;1.559;0.2960;2292.58
01.05.2014;1.404;1.563;0.2970;2292.59
01.06.2014;1.410;1.584;0.2981;2292.60
01.07.2014;1.401;1.608;0.2980;2292.61
01.08.2014;1.407;1.584;0.2979;2292.62
01.09.2014;1.408;1.571;0.2978;2292.63
01.10.2014;1.409;1.546;0.2977;2292.64
01.11.2014;1.410;1.495;0.2976;2292.65
01.12.2014;1.403;1.398;0.2974;2292.66
01.01.2015;1.400;1.296;0.2976;2347.80
01.02.2015;1.410;1.343;0.2970;2347.81
01.03.2015;1.411;1.405;0.2964;2347.82
01.04.2015;1.412;1.466;0.2959;2347.83
01.05.2015;1.403;1.489;0.2954;2347.84
01.06.2015;1.404;1.485;0.2951;2347.85
01.07.2015;1.405;1.519;0.2950;2347.86
01.08.2015;1.401;1.459;0.2949;2347.87
01.09.2015;1.399;1.355;0.2948;2347.88
01.10.2015;1.402;1.336;0.2947;2347.89
01.11.2015;1.412;1.329;0.2946;2347.90
01.12.2015;1.402;1.299;0.2946;2347.91
01.01.2016;1.400;1.258;0.2951;2406.95
01.02.2016;1.399;1.239;0.2956;2406.96
01.03.2016;1.397;1.227;0.2961;2406.97
01.04.2016;1.401;1.243;0.2964;2406.98
01.05.2016;1.410;1.325;0.2977;2406.99
01.06.2016;1.405;1.352;0.2969;2406.10
01.07.2016;1.400;1.309;0.2971;2406.10
01.08.2016;1.397;1.297;0.2973;2406.10
01.09.2016;1.399;1.333;0.2975;2406.10
01.10.2016;1.406;1.336;0.2975;2406.10
01.11.2016;1.410;1.327;0.2976;2406.10
01.12.2016;1.405;1.357;0.2977;2406.10
01.01.2017;1.400;1.397;0.2989;2451.15
01.02.2017;1.401;1.404;0.3001;2451.16
01.03.2017;1.402;1.381;0.3013;2451.17
01.04.2017;1.403;1.401;0.3026;2451.18
01.05.2017;1.400;1.337;0.3036;2451.19
01.06.2017;1.401;1.362;0.3048;2451.20
01.07.2017;1.402;1.349;0.3048;2451.21
01.08.2017;1.403;1.356;0.3048;2451.22
01.09.2017;1.404;1.395;0.3048;2451.23
01.10.2017;1.400;1.369;0.3048;2451.24
01.11.2017;1.398;1.359;0.3048;2451.25
01.12.2017;1.399;1.348;0.3048;2451.26
01.01.2018;1.400;1.356;0.3038;2522.00
01.02.2018;1.420;1.371;0.3028;2522.01
01.03.2018;1.450;1.326;0.3018;2522.02
01.04.2018;1.444;1.366;0.3008;2522.03
01.05.2018;1.490;1.475;0.2995;2522.04
01.06.2018;1.512;1.459;0.2987;2522.05
01.07.2018;1.530;1.451;0.2990;2522.06
01.08.2018;1.549;1.490;0.2993;2522.07
01.09.2018;1.579;1.519;0.2995;2522.08
01.10.2018;1.610;1.517;0.2997;2522.09
01.11.2018;1.622;1.513;0.2999;2522.10
01.12.2018;1.646;1.540;0.3000;2522.11
01.01.2019;1.650;1.338;0.3015;2596.10
01.02.2019;1.680;1.348;0.3030;2596.11
01.03.2019;1.690;1.346;0.3045;2596.12
01.04.2019;1.691;1.430;0.3060;2596.13
01.05.2019;1.692;1.509;0.3073;2596.14
01.06.2019;1.693;1.496;0.3088;2596.15
01.07.2019;1.701;1.423;0.3049;2596.16
01.08.2019;1.721;1.409;0.3006;2596.17
01.09.2019;1.719;1.416;0.2967;2596.18
01.10.2019;1.728;1.385;0.2924;2596.19
01.11.2019;1.731;1.396;0.2891;2596.20
01.12.2019;1.729;1.387;0.2878;2596.21
01.01.2020;1.730;1.393;0.2905;2583.75
01.02.2020;1.731;1.396;0.2931;2583.76
01.03.2020;1.732;1.303;0.2967;2583.77
01.04.2020;1.730;1.192;0.2991;2583.78
01.05.2020;1.731;1.199;0.3018;2583.79
01.06.2020;1.732;1.249;0.3043;2583.80
01.07.2020;1.733;1.299;0.3037;2583.81
01.08.2020;1.734;1.287;0.3031;2583.82
01.09.2020;1.735;1.283;0.3022;2583.83
01.10.2020;1.739;1.266;0.3015;2583.84
01.11.2020;1.740;1.238;0.3009;2583.85
01.12.2020;1.730;1.267;0.3006;2583.86
01.01.2021;1.745;1.398;0.3040;2665.00
01.02.2021;1.746;1.425;0.3084;2665.01
01.03.2021;1.747;1.524;0.3121;2665.02
